store_name,address,store_link
"ZUDIO - PUNE, VEN BUSINESS SQUARE","S/N - 131/1, Plot No - 2, Ground Floor, Pashan, Pune Baner Pashan Link Road , Pune - 411021 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/pune/business-square-pune-z551
"ZUDIO - AHMEDABAD, GOTA","Rangat Green Memories, Near Gota Chokdi, Sarkhej - Gandhinagar Hwy , Ahmedabad - 382481 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/ahmedabad-rangat-gota-z498
"ZUDIO - THANE, BOOKER KOLSHET ROAD","Starbazar Booker Wholesale Compound, 5/A, Ghodbundar Road, Opp.Wonder Mall, behind Bank of Baroda , Thane - 400607 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/thane/thane-booker-gota-t031
"ZUDIO - DEHRADUN, RAJPUR ROAD","Shivika Towers, Municipal Number 84, 263/610, Rajpur Road , Dehradun - 248001 , Uttarakhand",https://www.zudio.com/apps/s/zudio/storelocator/uttarakhand/dehradun/zudio-rajpur-road-dehradun-z639
"ZUDIO - HYDERABAD, TRINITY MAREDPALLY","Ground and First Floor, 10-2-262/263, Maredpally, Secunderabad , Hyderabad - 500026 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-secunderabad-trinity-maredpally-z485
"ZUDIO - Hyderabad, Dairy Farm Road","Satya Sai Enclave Main Rd, Satya Sai Enclave, Dairy Farm Road, Old Bowenpally , Hyderabad - 500015 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-hyderabad-dairy-farm-z487
"ZUDIO - Kakinada, Bhanugudi Junction","D.No 2, 1-60, Koppana Complex, Bhanugudi Junction, Dwaraka Nagar , Kakinada - 533003 , Andhra Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/andhrapradesh/kakinada/zudio-bhanugudi-junction-z399
"ZUDIO - Hubballi, Shirur park","opposite Sangeeta mobiles, beside Lenskart, 1st gate Shirur park, Vidya Nagar , Hubballi - 580023 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/hubballi/zudio-huballi-vidyanagar-road-z526
"ZUDIO - Bengaluru, Begur Koppa Road","The Hub @ Raj Serenity, Khata No-10, Begur-Koppa Road, Yelenahalli, Begur , Bengaluru - 560068 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-begur-koppa-road-z677
"ZUDIO - New Delhi, Mahavir Enclave","Mahavir Enclave , H-2/2/7-A , New Delhi - 110045 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-delhi-mahavir-enclave-z389
"ZUDIO - Indore, Annapurna Road","ADI Business Park, 47/5, Ahilya Nagar, Chankyapuri Chauraha, Annapurna Road , Indore - 452009 , Madhya Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/madhyapradesh/indore/zudio-indore-annapurna-road-z307
"ZUDIO - Vadodara, Waghodia","Opp Axis Bank, Nr. Dmart, Kaladarshan Char Rasta, Waghodia Road , Vadodara - 390025 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/vadodara/zudio-waghodia-vadodara-z661
"ZUDIO - Surat, Singanpor","Shubham K Mart, TP – 26, FP-88, RS NO.127, Opp Unique Square, Singanpore , Surat - 395004 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/zudio-singanpor-surat-z660
"ZUDIO - Surat, Sarthana business hub","Ground floor, Sarthana business hub, Sham Nagar, Sarthana Jakat Naka, Nirmal Nagar Society, Nana Varachha, Khadsad , Surat - 395006 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/zudio-sarthana-surat-z597
"ZUDIO - Ahmedabad, Sarovar Platinum","1A/1B, Dutt Society, Kankaria , Ahmedabad - 380002 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/zudio-sarovar-platinum-z601
"ZUDIO - Calicut, Thamarassery","Mamco Tower (Mamco Project LLP) , Calicut - 673573 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/calicut/zudio-calicut-thamarassery-z621
"ZUDIO - Hyderabad, Prism Mall","Starbazar Navayuga Vizva, Rajiv Gandhi Nagar, Gachibowli , Hyderabad - 500032 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-gachibowli-hyderabad-z719
"ZUDIO - Vizianagaram, Fort Road","Datta estates commercial complex, 17-11-12, Fort Road, Fort Area , Vizianagaram - 535002 , Andhra Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/andhrapradesh/vizianagaram/zudio-vizianagaram-datta-estates-z473
"ZUDIO - PALANPUR, ABU ROAD HIGHWAY","S9 Imperial, Bihari Bag, Near S9 Commercial Complex, Abu Road Highway , Palanpur - 385001 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/palanpur/zudio-palanpur-abu-road-highway-z657
"ZUDIO - THRISSUR, EAST FORT","Thrissur East Fort, Opposite Unni Mishiha Church , Thrissur - 680005 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/thrissur/zudio-thrissur-fort-z534
"ZUDIO - GULBARGA, OLD JEWARGI ROAD","Sai Pratap Complex, No.19 & 20, Situated in Sy. No.71/3A of Balaji Nagar, old Jewargi Road, TQ. & Dist. Kalaburagi , Gulbarga - 585102 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/gulbarga/zudio-gulbarga-jewargi-road-z606
"ZUDIO - KOLKATA, BARANAGAR","7/6 Vivekananda Road, Dunlop , Kolkata - 700035 , West Bengal",https://www.zudio.com/apps/s/zudio/storelocator/westbengal/kolkata/zudio-kolkata-baranagar-z580
"ZUDIO - MUMBAI, BOISAR","Doshi Associates, P 183, MIDC, Boisar , Mumbai - 401501 , Maharashtra",https://www.zudio.com/apps/s/zudio/storelocator/maharashtra/mumbai/zudio-mumbai-boisar-z701
"ZUDIO - SURAT, ANAND MAHAL ADAJAN","Ground Floor & First Floor, The Eminence, Opp. Reliance Mall, Near Prime Arcade, Jogani Nagar, Adajan , Surat - 395009 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/surat/zudio-anand-mahal-adajan-z367
"ZUDIO - KOLKATA, NAIHATI","350 Rishi Bankim Chandra Rd, Post Garifa Naihati 24 PGS North , Kolkata - 743166 , West Bengal",https://www.zudio.com/apps/s/zudio/storelocator/westbengal/kolkata/zudio-kolakata-naihati-z581
"ZUDIO - HYDERABAD, VASAVI SIGNATURE","Shop No 10 & 11, S.Y. No 1009, (Ward block 15-31), KPHB 5th Phase, Kukatpally , Hyderabad - 500072 , Telangana",https://www.zudio.com/apps/s/zudio/storelocator/telangana/hyderabad/zudio-hyderabad-vasavi-z403
"ZUDIO - KAPURTHALA, SAFFRON HIGH STREET","Jalandhar-Kapurthala Road, Mansoorwal Chowk , Kapurthala - 144601 , Punjab",https://www.zudio.com/apps/s/zudio/storelocator/punjab/kapurthala/zudio-kapurthala-saffron-z643
"ZUDIO - GORAKHPUR, GORAKHNATH MANDIR","Gorakhnath Road, Lachhipur , Gorakhpur - 273015 , Uttar Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/uttarpradesh/gorakhpur/gorakpur-gorakhnath-mandir-z576
"ZUDIO - AHMEDABAD, THE CAPITAL 3","opp. Neptune house, Nr. Mithaklhali Six Roads, Navrangpura , Ahmedabad - 380009 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/ahmedabad/zudio-ahmedabad-capital3-z665
"ZUDIO - LUCKNOW, RAJAJIPURAM","12/Com/101-A, Sector - 12, Rajajipuram , Lucknow - 226017 , Uttar Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/uttarpradesh/lucknow/zudio-lucknow-rajajipuram-z726
"ZUDIO - KOCHI, MARIA ARCADE","Near Elamkunnapuzha Post Office, Munambam road, A S Purushothoman Road JN, Vyapin , Kochi - 682503 , Kerala",https://www.zudio.com/apps/s/zudio/storelocator/kerala/kochi/zudio-ernakulam-maria-arcade-z687
"ZUDIO - FARIDABAD, PACIFIC MALL","LG Floor, Mall of Faridabad, New Industrial Township Bus Stand, KL Mehta Road , Faridabad - 121001 , Haryana",https://www.zudio.com/apps/s/zudio/storelocator/haryana/faridabad/zudio-faridabad-pacific-mall-z414
"ZUDIO - NEW DELHI, PACIFIC D21 MALL","Dwarka Sector 21 Metro Station, Dwarka , New Delhi - 110077 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-newdelhi-pacific-d21mall-z259
"ZUDIO - BENGALURU, KENGERI","BBMP Khata No 2159/58/128/2145, Old KHB No 128-MIG, BBMP Khata No 2160/59/129/2146, Old KHB No 129-MIG, Situated at Kengeri Satellite Town, Kengeri, Upanagara , Bengaluru - 560060 , Karnataka",https://www.zudio.com/apps/s/zudio/storelocator/karnataka/bengaluru/zudio-bengaluru-kengeri-z418
"ZUDIO - Vadodara, Meraki Latitude","Meraki Latitude, Final Plot No. 42, 124 of Town Planning, Scheme: 21(Akota- Tandalja) Near Devdeep Nagar, Old Padra Road , Vadodara - 390020 , Gujarat",https://www.zudio.com/apps/s/zudio/storelocator/gujarat/vadodara/zudio-vadodara-meraki-latitude-z507
"ZUDIO - Delhi, Kabir Nagar","969 E, Main 100 Feet Road, Kabir Nagar - Shadara , New Delhi - 110032 , Delhi",https://www.zudio.com/apps/s/zudio/storelocator/delhi/newdelhi/zudio-delhi-kabir-nagar-z350
"ZUDIO - Vijayawada, Siddhartha College Road","Bricks & Palms, 36-14-3/2, Shanti Nagar, Mogalrajapuram St. No. 1 , Vijayawada - 520010 , Andhra Pradesh",https://www.zudio.com/apps/s/zudio/storelocator/andhrapradesh/vijayawada/zudio-vijayawada-siddhartha-college-road-z470
