id_store_locator,latitude,longitude,store_name,retek_code,storeId,shop_opens_days,open_timings,closing_time,pincode,search_word,address,phone_number,store_manager_contact,whatsapp_number,store_image,gender,is_omnienable,hyperlocal_enabled,alteration,is_active,id_brand,distance,is_express_delivery_flag,static_msg,timeLineMsg
3399,12.926111,80.115387,"Peter England Store, Tambaram, Chennai",PHC000090,PHC000090,,,,600045," Tambaram, Chennai","No.12, Abdul Razak Street, Tambaram, Chennai - 600 045.",044 - 22266415,0,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,9.143813707005451,0,,
4454,12.836059,80.229507,"Peter England, Marina Mall",63695,63695,,,,603103,"600130, 600119, 600126, 603112, 600127","Peter England, F005B, Egattur Village, Tirpporur taluk, Marina Mall, OMR Road, Kanchipuram dist, 603103",044-40173062,6374470813,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,13.39941060452536,0,,
441,12.912278,79.131889,PE Mainline VELLORE,62820,62820,,,,632001,"Officers Line, Vellore, 632002, 632007, 632006, 632012, 632058, 632055, 632013, 632014, 632057, "," Peter England, No.6/-1, Officers Line, Vellore-632001",0416-4500451/4500452,9058607997,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.94674562614484,0,,
4688,11.67622,78.156738,Peter England Alagapuram,63859,63859,,,,636016,"636001, 636002, 636004, 636005, 636007, ","survey No:sf.74/4,382,Saradha college Road, Alagapuram, Salem-636016
",0427-4021310,7339132920,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,7.121425912315451,0,,
471,11.671583,78.138313,"PE Mainline Main Road, Salem",61400,61400,,,,636004,"Omalur Main Road, Swarnapuri, 636009, 636304, 636005, 636007"," Peter England, 43A,Omalur Main Road,Swarnapuri,Salem-636004",9500667748,8106124959,9500667748,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,9.128268232780025,0,,
3827,11.671583,78.138313,"Peter England Store, Swarnapuri, Salem",61400,61400,,,,636004," Swarnapuri, Salem","Peter England, # 43, 43(A), Omalu Main Road, Swarnapuri, Salem - 636 004.",0427-4265432,9790032926,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,9.128268232780025,0,,
492,11.218556,78.163887,PE Mainline Namakkal,62612,62612,,,,637001,"Paramathi Road, Namakkal"," Peter England, 27,Kumar illam , Paramathi Road , Namakkal - 637001",04286-233337,7799299212,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,11.283108743912267,0,,
3730,11.218333,78.163719,"Peter England Store, Namakkal",62612,62612,,,,637001, Namakkal,"Kumar Illam, No. 26, Paramathi Road, Namakkal - 637 001.",,7799299212,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,11.302122018925235,0,,
2810,11.35278,77.727272,"Peter England Store, RKV RD, Erode",61434,61434,,,,638001," RKV RD, Erode","# 9, R.K.V.Road, Erode - 638 001",0424-4558084,9080964455,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,8.534871751560908,0,,
3474,11.342222,77.728279,"Peter England Store, RKV RD, Erode",61434,61434,,,,638001," RKV RD, Erode","Peter England, # 9, R.K.V.Road, Erode - 638 001",0424-4558084,9080964455,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,9.031908155904713,0,,
483,11.341917,77.728416,"PE Mainline R K V Road, Erode",61434,61434,,,,638001,"RKV ROAD, Erode"," Peter England, NO.9,RKV ROAD,NEAR MANIKUNDU, ERODE-638001",0424-4558084,9971082442,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,9.038363764918548,0,,
4447,11.332814,77.703346,"Peter England Store, Perundurai",63830,63830,,,,638011,"638001, 638002, 638003, 638004, 638011, 638012","Peter England, No.131, Next to kumalan Kuttai bsu stop, perundurai Road, Erode, 638011",0424-2267553,9789319064,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,11.890822869160605,0,,
3475,11.328611,77.694221,"Peter England Store, Perundurai Road, Erode",62730,62730,,,,638012," Perundurai Road, Erode","# 23, Pannai Nagar, Veerapampalayam Pirivu, Perundurai Road, Erode - 638012.",,9728812686,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,12.985373935032722,0,,
636,11.328528,77.694,"PE Mainline PERUNDURAI ROAD, ERODE",62730,62730,,,,638102,"Pannai nagar , Erode"," Peter England, NO-23,PANNAI NAGAR ,VEERAPPAM PALAYAM PERUNDURAI ROAD,ERODE - 638102",0424-2277669,9728812686,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,13.010865602782758,0,,
8634,11.40975,76.705437,"PETER ENGLAND,OOTY COMMERCIAL ROAD",66922,66922,,,,643001,,"ADITYA BIRLA FASHION AND RETAIL LIMTED,PETER ENGLAND SHOWROOM,NO 71,COMMERCIAL ROAD,OOTY-643001
",04232443455,6382485943,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,2.2243879845236294,0,,
3751,11.40975,76.705444,"Peter England Store, Commercial Road, Ooty",62822,62822,,,,643001," Commercial Road, Ooty","Peter England, D.No.71,Commercial Road, Opp BIG SHOP, Ooty - 643001",0423-2443455,9943012866,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,2.2251677773131573,0,,
481,11.301528,76.938637,"PE Mainline Mettupalayam,TN",62610,62610,,,,641301,"Karamadai Road, Mattupalayam"," Peter England, # 140 , Saran Vishnu Plaza , Karamadai Road , Mettupalayam - 641301",04254-228310,7019993142,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,12.607301936725731,0,,
3684,11.289111,76.940918,"Peter England Store, Mettupalayam",62610,62610,,,,641301," Mettupalayam,","#140,Saran Vishnu Plaza, Karamadai Road, Mettupalayam - 641 301.",,7019993142,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.00581421692781,0,,
4445,10.82,78.660004,"Peter England Store, Trichy",61417,61417,,,,620018,,"Peter England, B-34,Colony Main Road,Thillai Nagar,TRICHY-620018",0431-4221023/24,8270262275,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,12.427666461444089,0,,
5895,10.818703,78.683365,Peter England,63972,63972,,,,620001,,"B-34, Colony Main Road, Thilainagar, Trichurapalli - 620 001",9655149903,,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,14.598431209395864,0,,
551,10.959056,79.373001,"PE Mainline SANATHI ST,Kumbakonam",62569,62569,,,,612001,"somesh warar sannathi street, 612103, 612302, 612401, 612702, 612002, 612204, 612303, "," Peter England, No-9,somesh warar sannathi street,kumbakonam-612001",0435-2423787,8855842747,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,13.981720131526393,0,,
3650,10.95875,79.385971,"Peter England Store, Sanathi Street, Kumbakonam",62569,62569,,,,612001," Sanathi Street, Kumbakonam","Peter England, New no 9A,Old no 11,Someshwarar Sanathi Street,Kumbakonam-612001",04345-2423787,8098035800,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.445499656785364,0,,
666,10.705639,79.53936,Pattukotti,62785,62785,,,,614602,Sri Palaniyappan Street,"New VNS Complex, Shop NO.1 & 2, Sri Palaniyappan Street, Thanjavur Dist , 614602",04373-255969,9763709613,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,2.9075443500803164,0,,
4446,10.77767,79.141518,"Peter England Store, Thanjavour",63827,63827,,,,613001,"613007, 613004, 613008, 613006, 613009, ","Peter England, NO. 2885 SRINIVASAPILLAI ROAD THANJAVUR - 613001",04362-232787,9843297284,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,1.14865128194416,0,,
3771,10.776917,79.141861,"Peter England Store, Pattukottai",62785,62785,,,,614602," Pattukottai,","New VNS Complex, Shop NO.1 & 2, Sri Palaniyappan Street, Thanjavur Dist - 614602, Pattukottai",,9763709613,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.1504218920067228,0,,
3862,10.777667,79.141472,"Peter England Store, Thanjavur",62658,62658,,,,613001," Thanjavur,","No,2885,Srinivasa Pillai Road, Thanjavur-613001",,9974620145,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.1533806383409122,0,,
599,10.777472,79.141251,"PE Mainline SRINIVASA PILLAI RD, Thanjavur",62658,62658,,,,613001,SRINIVASA PILLAI ROAD," Peter England, NO-2885 SRINIVASA PILLAI ROAD THANJAVUR-613001",04362-232787,9974620145,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,1.1841474274658412,0,,
6885,10.75,79.120003,PETER ENGLAND THANJAVUR,66294,66294,,,,613005,,"Mohan Complex, 7t St, Cauvery Nagar, Pudukottai Road, Thanjavour -613005
",04362409798,9788471366,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,4.902925465899657,0,,
1850,10.073069,78.772636,"Peter England, Sekkalai Road, Karaikudi,",308451,308451,,,,630002,Sekkalai Road,"Peter England Showroom,No 347, Sekkalai Road",4565233242,0,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.800481862060648,0,,
464,9.92082,78.11483,Peter England,62318,62318,,,,625001,"West masi street, Madurai, 632002, 632007, 632006, 632012, 632058, 632055, 632013, 632014, 632057, ","No. 135, West Masi Street, Madurai - 625 001",0452-4375552,9171810101,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,12.696958597787434,0,,
3668,9.92082,78.11483,Peter England,62318,62318,,,,625001," West Masi, Madurai","No. 135, West Masi Street, Madurai - 625 001",0452-4375552,9171810101,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,1,1,5,12.696958597787434,0,,
3669,9.918222,78.112556,"Peter England Store, Madurai ",308638,308638,,,,652001, Madurai,"73, TOWN HALL ROAD, OPP. COLLEGE HOUSE, MADURAI- 625001",,0,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,12.771756950836467,0,,
520,9.453285,77.802414,PE Mainline SIVAKASI,62321,62321,,,,626123,"NRK road, Sivakasi"," Peter England, #171,Rajarathinam street, NRK road, Sivakasi-626123",0456-2272003/04,8449284999,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,4.16223530950168,0,,
3846,9.458556,77.796692,"Peter England Store, Rajarathinam Street, Sivakasi",62321,62321,,,,626123," Rajarathinam Street, Sivakasi","# 171, Rajarathinam Street, Sivakasi - 626 123.",,8449284999,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,4.942218332089719,0,,
3876,8.804611,78.149582,"Peter England Store, Tuticorin",62589,62589,,,,628001," Tuticorin,","Peter England, #19,West Great Cotton Road,Tuticorin - 628001",0461-4227122,9080029267,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.239992716031638,0,,
559,8.804167,78.151917,"PE Mainline WEST GREAT COTTON RD, Tuticorin",62589,62589,,,,628001,"WGC road, Trichy, 628002, 628402, 628401, 628712"," Peter England, No 19 , WGC road, Tuticorin-628001",0461-2323461,9923020143,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,14.449278282491749,0,,
528,8.713913,77.756653,"PE Mainline PALAYAMKOTTAI, Tirunelveli",62326,62326,,,,627002,"Trivandrum Road, Palayankottai"," Peter England, No. 122/A2,Mani complex, Trivandrum Road, Palayankottai,Tirunelveli-627002",0462-4000462,9971813489,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,0,1,5,7.198140346006637,0,,
8633,8.720631,77.734283,"PETER ENGLAND,MANI COMPLEX",66924,66924,,,,627002,,"ADITYA BIRLA FASHION AND RETAIL LIMTED,PETER ENGLAND SHOWROOM,NO:122/A2,MANI COMPLEX,TRIVANDRUM ROAD,PALAYAMKOTTAI,TIRUNELVELI-627002
",04624000462,9941242320,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,0,1,1,5,9.737517981954316,0,,
3868,8.721222,77.732002,"Peter England Store, Palayankottai, Tirunelveli",62326,62326,,,,627001," Palayankottai,","Peter England, Ground Floor, Mani Complex, No. 122/A2, Trivandrum Road, Palayamkottai, Tirunelveli - 627 001.",0462-4000462,9843773771,,https://imagescdn.peterengland.com/img/app/brand/production/3.pe.jpg,,0,1,0,1,5,9.99561981778812,0,,
