id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
88,SGS Mall - KFC ,"KFC, Seasons Mall, Magarpatta City, Hadapsar, Pin 411013",18.5196,73.8774,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,88,Pune,Maharashtra
89,Deccan Mall - KFC  ,"KFC R-Deccan Mall, Shop No.1, 2, 3, &4, Ground Floor, Opposite To Deccan PMT Bus Near Deccan Gymkhana, J.M Marg Pin 411004",18.5164922,73.8423478,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,89,Pune,Maharashtra
90,Baner - KFC ,"KFC Ground Floor,TIARA building,village Banner,Haveli,Pune, Pin 411008",18.5596581,73.7799374,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,90,Pune,Maharashtra
91,City One Mall - KFC ,"KFC ""Swiss Country"" S No 37, Near Pcmc Office, Thergaon, Pin 411033",18.6328382,73.8005489,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,91,Pune,Maharashtra
92,Amanora Mall - KFC ,"KFC Amanora Town Centre, Mall Management Office, Amanora Magarpatta Road, Pin 411028",18.5186104,73.9360892,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,92,Pune,Maharashtra
93,Phoenix Market City - KFC,"KFC Phoenix Market City Pune, Survey No. 207, Viman Nagar Road, Pin 411014",18.5627761,73.9163206,2019-10-11 07:17:00,2020-07-11 18:43:00,,kfc,1,2,93,Pune,Maharashtra
94,MSM Mall - KFC  ,"KFC 25/20, Unit No 2 Ground Floor, MSM Mall, Karve Road, Khilarewadi, Erandwane Pune Pin 411038",18.510553,73.838674,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,94,Pune,Maharashtra
95,Pacific Mall - KFC ,"KFC Kumar Pacific Mall, FP- CTS 42 & 43, Shankar Seth Road, Gultekdi, Pin 411042",18.5013738,73.8723975,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,95,Pune,Maharashtra
96,Spot 18 - KFC ,"KFC Office No. 309, 310, 3rd Floor Rainbow Pizza, Pimple Suadagar, Pin 411017",18.593283,73.7859389999999,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,96,Pune,Maharashtra
97,Westend Mall - KFC ,"KFC Westend Mall, Shop No. SF 2, 5-Gurukul Park Road, Wireless Colony, Aundh, Pin 411007",18.5620523,73.8071677,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,97,Pune,Maharashtra
98,Pavilion Mall - KFC   ,"KFC Senapati Bapat Rd, Laxmi Society, Model Colony, Shivajinagar, Pin 411016",18.5338,73.8298,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,98,Pune,Maharashtra
145,Hinjewadi- KFC   ,"KFC S.No. 21/2, Wakad Road, Hinjewadi Pune, Pin 411016",18.590903,73.7478645,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,145,Pune,Maharashtra
146,Seasons Mall - KFC   ,"KFC Seasons Mall, Magarpatta City, Hadapsar, Pin 411016",18.5195,73.9316,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,146,Pune,Maharashtra
163,Kharadi - KFC  ,"KFC, Shop No.3&4,Pradeep Plaza West Wing,Ganga Platino,Kharadi, Pin 411014",18.5549228,73.9476938,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,2,163,Pune,Maharashtra
324,93 Avenue - KFC,"KFC, Unit No 304, 3ed Flr, 93 Avenue Kalubai Chowk, Wanowari, opp. Croma, Hadapsar, Pune, Maharashtra - 411022",18.5057,73.9065,2020-07-02 11:50:00,2020-07-02 11:50:00,,kfc,1,2,324,Pune,Maharashtra
329,Elpro Estates - KFC,"KFC, UN FC 13, Elpro City Square Ward No 18, Pimpri Chinchwad, Pune, Maharashtra - 411033",18.6300564,73.7869176,2020-07-02 11:55:00,2020-07-02 11:55:00,,kfc,1,2,329,Pune,Maharashtra
367,NIBM Clover Hill Plaza - KFC,"KFC, Shop 1, 2, 3 & 32, Ground floor, Clover Hill Plaza, Amenity Space, NIBM Road, Pune - 411048",18.4674,73.9017,2020-10-26 05:49:07,2020-10-26 05:49:07,,kfc,1,2,367,Pune,Maharashtra
78,Korum Mall - KFC ,"KFC Unit No. 4, 3rd Floor, Korum Mall Fc Mangal Pandey Road, Samata Nagar Thane West Pin 400606",19.2035083,72.9646955,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,46,78,Thane,Maharashtra
86,The Walk - KFC ,"KFC S1, S101 Fortuna, The Walk ",19.25589,72.983651,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,46,86,Thane,Maharashtra
99,DB City Mall - KFC,"KFC Restaurant, 3rd Floor, DB City Mall, Arera Hills, Opps. Mp Nagar Pin 462011",23.23251788,77.43003141,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,50,99,Bhopal,Madhya Pradesh
3,Bilaspur - KFC,"KFC Ground Floor, Unit No- 32A Rama Magneto Deendayal Upadhayey Chowk, Shreekant Ver Pin 495004",22.071797,82.149502,2019-10-11 07:17:00,2020-07-14 12:27:19,,kfc,1,58,3,Bilaspur,Madhya Pradesh
158,DB Mall - KFC ,"KFC , DB Mall, On Khasra 520, 521, 524, 525, Race Course Road, Gwalior, MP, Pin 474001",26.2169475,78.1849576,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,63,158,Gwalior,Madhya Pradesh
100,Mallhar Mega Mall - KFC ,"KFC Restaurant, Malhar Mega Mall, Plot No. 304, AB Road, Pin 452010",22.7447034,75.8946122,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,49,100,Indore,Madhya Pradesh
101,RNT Nagar - KFC,"KFC 182 KFC Restaurant, 1& 2 Kbike Compound, Shreenaya Square, RNT Marg, Pin 452001",22.7136631,75.8746225,2019-10-11 07:17:00,2020-07-11 18:45:55,,kfc,0,49,101,Indore,Madhya Pradesh
102,South Avenue Mall - KFC ,"KFC Restaurant Shop No- GF: 1-5, FF 1-2, South Avenue Mall,  Narmada Road, Jabalpur Pin 482001",23.1241084,79.9276938,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,49,102,Indore,Madhya Pradesh
361,The One RNT - KFC,"KFC, The One RNT - Indore, Unit No.  GF 1, 2 & 3, Ground Floor, The One, Plot No. 5, RNT Marg- Indore 452001",22.7174,75.8731,2020-10-26 05:37:15,2020-10-26 05:39:43,,kfc,1,49,361,Indore,Madhya Pradesh
30,Aventura Mall - KFC  ,"KFC Sco - 1, Aventura Mall, 35B/36/13, Pin 144001",31.6421787,74.8711893,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,18,30,Amritsar,Punjab
