latitude,longitude,phone_number,link,address,store_name,nearest_location,state
17.7336313,83.3180569,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-maddilapalam-pizza-restaurant-maddilapalam-visakhapatnam-1174/Home,"4th Floor, CMR Central, Resapuvanipalem, Maddilapalam, Maddilapalam, Visakhapatnam - 530013, Visakhapatnam, -, 530013", Maddilapalam ,,Andhra Pradesh
17.68306173,83.20117477,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-cmr-mall-gajuwaka-vizag-pizza-restaurant-gajuwaka-visakhapatnam-125849/Home,"CMR Mall, Exhibition Ground, GNT Road, Gajuwaka, Gajuwaka, Visakhapatnam - 530013, Visakhapatnam, -, 530013", PH CMR Mall Gajuwaka Vizag , Beside Mangalagiri Complex ,Andhra Pradesh
17.742297,83.331074,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-mvp-colony-pizza-restaurant-mvp-colony-sector-3-visakhapatnam-129212/Home,"Door No 1/83/13, Plot No HIG 2/3, Peda Waltair, MVP Colony, Sector 3, MVP Colony, Sector 3, Visakhapatnam - 530017, Visakhapatnam, -, 530017", PH-MVP Colony ,,Andhra Pradesh
17.75260261,83.21847553,+918447317337,https://restaurants.pizzahut.co.in/pizza-hut-ph-gopalapatnam-visakhapatnam-pizza-restaurant-simhachalam-visakhapatnam-129244/Home,"D No 9/45/1, Simhachalam Rd, Gopalapatnam, Simhachalam, Simhachalam, Visakhapatnam - 530027, Visakhapatnam, -, 530027", PH Gopalapatnam Visakhapatnam , Near HP Petrol Station ,Andhra Pradesh
17.802468,83.353499,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-madhurwada-pizza-restaurant-pm-palem-visakhapatnam-121525/Home,"No 3 & 4, Gr Flr, SVS Singana Plaza, Car Shed Junction, PM Palem, PM Palem, Visakhapatnam - 530041, Visakhapatnam, -, 530041", PH Madhurwada ,,Andhra Pradesh
17.69684835,83.16283432,+918506008594,https://restaurants.pizzahut.co.in/pizza-hut-ph-duvvada-visakhapatnam-pizzerias-kurmannapalem-visakhapatnam-235132/Home,"30/77/17, Kanitha Gandhi Statue, R H Col, Vuda Col, Duvada Station Rd, Kurmannapalem, Kurmannapalem, Visakhapatnam - 530046, Visakhapatnam, -, 530046", PH Duvvada Visakhapatnam ,,Andhra Pradesh
16.997969,82.243554,+919899190331,https://restaurants.pizzahut.co.in/pizza-hut-ramanayyapeta-pizza-delivery-ramanayyapeta-kakinada-81399/Home,"No 4/21, 82 East, SRMT Mall & Multiplex, Pithapuram Kakinada Road, Ramanayyapeta, Ramanayyapeta, Kakinada - 533005, Kakinada, -, 533005", Ramanayyapeta , Near Lalitha Nagar ,Andhra Pradesh
17.005112,81.787878,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-gandhi-puram-3-pizza-restaurant-gandhi-puram-3-rajahmundry-105236/Home,"House No 78/9/11/2, Gandhi Puram 3, Gandhi Puram 3, Rajahmundry - 533103, Rajahmundry, -, 533103", Gandhi Puram 3 , Behind Priyanka Gardens ,Andhra Pradesh
16.5417801,81.50230019,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-jp-road-bhimavaram-pizza-restaurant-jp-road-bhimavaram-110316/Home,"No 7/213, JP Road, JP Road, Bhimavaram - 534204, Bhimavaram, -, 534204", PH JP Road Bhimavaram ,,Andhra Pradesh
18.102642,83.415964,18002022022,https://restaurants.pizzahut.co.in/pizza-hut-ph-vizianagaram-pizza-restaurant-dharmapuri-vizianagaram-123957/Home,"No 102 & 103, Teja Plaza, 100ft Ring Road, Dharmapuri, Dharmapuri, Vizianagaram - 535002, Vizianagaram, -, 535002", PH Vizianagaram ,,Andhra Pradesh
