latitude,longitude,phone_number,link,address,store_name,nearest_location,state
28.963804,77.739273,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-meerut-garh-road-restaurants-garh-road-meerut-187815/Home,"No 22, Tej Garhi, Tyagi Market, Garh Road, Garh Road, Meerut - 250004, Meerut, -, 250004", KFC Meerut Garh Road ,,Uttar Pradesh
29.3099401,77.7216301,+918042754444,https://restaurants.kfc.co.in/kfc-khatauli-restaurants-khatauli-muzaffarnagar-78209/Home,"No 139/3 & 66, The Food Street Mall, NH 58, Bhasi, Khatauli, Khatauli, Muzaffarnagar - 251002, Muzaffarnagar, -, 251002", Khatauli ,,Uttar Pradesh
26.7497406,83.3996801,+918042754444,https://restaurants.kfc.co.in/kfc-mohhadipur-restaurants-mohhadipur-gorakhpur-79897/Home,"Shop No 2, Gr Flr, Orion Mall, Mohhadipur, Mohhadipur, Gorakhpur - 273008, Gorakhpur, -, 273008", Mohhadipur ,,Uttar Pradesh
26.79280445,83.35552225,+918042754444,https://restaurants.kfc.co.in/kfc-gorakhnath-restaurants-lacchipur-gorakhpur-294999/Home,"Shop no 12 to 17, Saket Enclave, Gorakhnath Road, Lacchipur, Lacchipur, Gorakhpur - 273015, Gorakhpur, -, 273015", Gorakhnath ,,Uttar Pradesh
28.535517,77.391029,+919897325948,https://restaurants.kfc.co.in/kfc-kfc-rhs-expressway-restaurants-expressway-agra-to-greater-noida-mathura-130737/Home,"Food Court, Expressway Agra to Greater Noida, Expressway Agra to Greater Noida, Mathura - 281202, Mathura, -, 281202", KFC RHS EXPRESSWAY , Near Mant TH ,Uttar Pradesh
27.612339,77.585575,+919639977707,https://restaurants.kfc.co.in/kfc-chaumuha-restaurants-chaumuha-mathura-34975/Home,"Food Court, Tehsil Chhata, Mathura Highway, Chaumuha, Chaumuha, Mathura - 281406, Mathura, -, 281406", Chaumuha ,,Uttar Pradesh
27.20317984,78.00359491,+919899706578,https://restaurants.kfc.co.in/kfc-agra-church-road-restaurants-hariparwat-agra-307054/Home,"Property No 15, Corp No 2/27, Lg & Ug 3, Swadeshi Bima Nagar, Hariparwat, Hariparwat, Agra - 282002, Agra, -, 282002", Agra Church Road , Near Nagar Nigam Food Safety Zone 3 ,Uttar Pradesh
29.8669501,77.8773901,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-roorkee-restaurants-nehru-nagar-roorkee-123460/Home,"Shop No 176, Ground Floor, Ganesh Cmplx, Nehru Nagar, Nehru Nagar, Roorkee - 247667, Roorkee, -, 247667", KFC Roorkee ,,Uttarakhand
30.366492,78.07062999,+918042754444,https://restaurants.kfc.co.in/kfc-rajpur-road-restaurants-rajpur-road-dehradun-34893/Home,"No 65A, Rajpur Road, Rajpur Road, Dehradun - 248001, Dehradun, -, 248001", Rajpur Road ,,Uttarakhand
30.343799,78.048058,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-unison-mall-dehradun-restaurants-rabindra-nath-tagore-marg-dehradun-199346/Home,"108/84, No 6, Food Court, Centrio Mall, Rabindra Nath Tagore Marg, Rabindra Nath Tagore Marg, Dehradun - 248001, Dehradun, -, 248001", KFC Unison Mall Dehradun ,,Uttarakhand
30.274931,77.989389,+918042754444,https://restaurants.kfc.co.in/kfc-subhash-ngr-restaurants-subhash-ngr-dehradun-180028/Home,"The N2 Trade Tower, Saharanpur Road, Seth Panna Lala Mittal Chowk, Subhash Ngr, Subhash Ngr, Dehradun - 248002, Dehradun, -, 248002", Subhash Ngr ,,Uttarakhand
30.2670901,78.0814601,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-mall-of-dehradun-restaurants-parwadoon-dehradun-327223/Home,"SN FCC/3F/2, 3rd Floor, Mall of Dehradun, Khasra No 47, Mohkampur Khurd, Parwadoon, Parwadoon, Dehradun - 248005, Dehradun, -, 248005", KFC Mall of dehradun ,,Uttarakhand
30.333409,78.0240801,+918042754444,https://restaurants.kfc.co.in/kfc-rajpura-road-restaurants-rajpura-road-dehradun-35106/Home,"Pacific Mall, Food Court, Rajpura Road, Rajpura Road, Dehradun - 248009, Dehradun, -, 248009", Rajpura Road ,,Uttarakhand
30.402471,78.080374,+918042754444,https://restaurants.kfc.co.in/kfc-kirsali-gaon-restaurants-kirsali-gaon-dehradun-78629/Home,"G 01, Imperial Height, Mussorie Road, Kirsali Gaon, Kirsali Gaon, Dehradun - 248009, Dehradun, -, 248009", Kirsali Gaon ,,Uttarakhand
30.352671,78.080766,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-shahastradhara-restaurants-parwa-doon-dehradun-274626/Home,"Khasra No 67, Dhanda, Nooriwala, Parwa Doon, Parwa Doon, Dehradun - 248013, Dehradun, -, 248013", KFC Shahastradhara ,,Uttarakhand
30.28752506,78.06476557,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-oasis-mall-restaurants-jogiwala-chowk-dehradun-252877/Home,"No GF 2 & FF 2A, Oasis Commercial, Main Haridwar Road, Jogiwala Chowk, Jogiwala Chowk, Dehradun - 248014, Dehradun, -, 248014", KFC Oasis Mall ,,Uttarakhand
30.333351,78.0239111,+918042754444,https://restaurants.kfc.co.in/kfc-adarsh-nagar-restaurants-adarsh-nagar-dehradun-35074/Home,"Khasra No 1281/1291, Gr Flr, Chakrata Road, Adarsh Nagar, Adarsh Nagar, Dehradun - 248123, Dehradun, -, 248123", Adarsh Nagar , Opposite Dr Manish Jain Hospital ,Uttarakhand
30.2978701,78.0053601,+918042754444,https://restaurants.kfc.co.in/kfc-kfc-niranjanpur-dehradun-restaurants-niranjanpur-dehradun-125075/Home,"Khasara No 544 & 545, Ground Floor, Paragana, Central Doon, Niranjanpur, Niranjanpur, Dehradun - 248171, Dehradun, -, 248171", KFC Niranjanpur Dehradun ,,Uttarakhand
29.899528,77.985034,+918042754444,https://restaurants.kfc.co.in/kfc-haridwar-delhi-road-restaurants-haridwar-delhi-road-haridwar-35065/Home,"Unit No HF 1, Ground Floor, National Food Court, Haridwar Delhi Road, Haridwar Delhi Road, Haridwar - 249405, Haridwar, -, 249405", Haridwar Delhi Road , Adjoining Crystal Water Park ,Uttarakhand
29.2420825,79.535107,+918042754444,https://restaurants.kfc.co.in/kfc-damuadhunga-bandobasti-restaurants-damuadhunga-bandobasti-nainital-35058/Home,"Shop No 1 & 2, Vintage High Street, Kh No 790, 793, Damuadhunga Bandobasti, Damuadhunga Bandobasti, Nainital - 263126, Nainital, -, 263126", Damuadhunga Bandobasti ,,Uttarakhand
