store_name,store_linnk,store_locality,store_phone_numbers,store_address,store_landmark
V-Mart - Saket Nagar,https://stores.vmartretail.com/v-mart-saket-nagar-juhi-kanpur-31005/home,"Juhi, Kanpur",+919336893586,"No 1 49 W 1, 127/49, W 1, Gaushala Road, Saket Nagar, Juhi Kalan, Near PVR Deep Cinema, Juhi, Kanpur, Uttar Pradesh, 208014",Near PVR Deep Cinema
V-Mart - Kanpur-Barra,https://stores.vmartretail.com/v-mart-kanpur-barra-barra-kanpur-nagar-30702/home,"Barra, Kanpur Nagar",+919311388651,"Plot No 44A/1, Karrahi Road, Karrahi Road, Near Maya Market, Barra, Kanpur Nagar, Uttar Pradesh, 208027",Near Maya Market
V-Mart - Naubasta-Kanpur,https://stores.vmartretail.com/v-mart-naubasta-kanpur-naubasta-kanpur-nagar-31052/home,"Naubasta, Kanpur Nagar",+919205364279,"43A/3, Lovekush Vihar, Hamirpur Road, Naubasta, Near Rooprani Sukhnandan Singh Mahavidyalaya, Naubasta, Kanpur Nagar, Uttar Pradesh, 208021",Near Rooprani Sukhnandan Singh Mahavidyalaya
V-Mart - Shuklaganj,https://stores.vmartretail.com/v-mart-shuklaganj-shuklaganj-unnao-30754/home,"Shuklaganj, Unnao",+918448085172,"Shop No 6/392, Rahul Bhawan, Rajdhani Marg, Sarvodaya Nagar, Rahul Bhawan, Near Joga Bhoga Wali Gali, Nehru Nagar, Shuklaganj, Unnao, Uttar Pradesh, 209861","Near Joga Bhoga Wali Gali, Nehru Nagar"
V-Mart - Kanpur-Yashoda Nagar,https://stores.vmartretail.com/v-mart-kanpur-yashoda-nagar-yashoda-nagar-kanpur-31091/home,"Yashoda Nagar, Kanpur",+917303134964,"No 128/105/B, Raman Bihari Bhawan, Yashoda Nagar, Near Dhanvantri Radiance Hospital,Yashoda Nagar, Kanpur, Yashoda Nagar, Kanpur, Uttar Pradesh, 208011","Near Dhanvantri Radiance Hospital,Yashoda Nagar, Kanpur"
V-Mart - Palampur-City Mall,https://stores.vmartretail.com/v-mart-palampur-city-mall-palampur-30708/home,Palampur,+917303200879,"Palampur City Mall, Main Market Road, Main Market Road, Near Palampur Near bus stand, Palampur, Himachal Pradesh, 176061",Near Palampur Near bus stand
V-Mart - Unnao-Shahganj Bazaar,https://stores.vmartretail.com/v-mart-unnao-shahganj-bazaar-ab-nagar-unnao-30906/home,"Ab Nagar, Unnao",+918800837092,"Plot No 291, Shahganj Sadar Bazaar, Shahganj Sadar Bazaar, Near Collection O Hotel Dream Palace, Ab Nagar, Unnao, Uttar Pradesh, 209801",Near Collection O Hotel Dream Palace
V-Mart - Baran-Kota Road,https://stores.vmartretail.com/v-mart-baran-kota-road-bara-pancharole-baran-30958/home,"Bara Pancharole, Baran",+919289551044,"Kota Road, Kota Road, Near Char Murti, Old Civil Line, Baran, Bara Pancharole, Baran, Rajasthan, 325205","Near Char Murti, Old Civil Line, Baran"
V-Mart - Lal Bangla-Kanpur,https://stores.vmartretail.com/v-mart-lal-bangla-kanpur-harjinder-nagar-kanpur-nagar-30891/home,"Harjinder Nagar, Kanpur Nagar",+917303182526,"Chandel Market, Harjindar Nagar Chouraha, Lal Bangla, Harjindar Nagar Chouraha, Near Harjindar Nagar, Lal Bangla, Harjinder Nagar, Kanpur Nagar, Uttar Pradesh, 208007","Near Harjindar Nagar, Lal Bangla"
V-Mart - Kota-Kunadi,https://stores.vmartretail.com/v-mart-kota-kunadi-kunadi-kota-30953/home,"Kunadi, Kota",+917303627002,"Kcp 1, Rajat Platina, Maharana Pratap Circle, Near Maharana Pratap Circle Kunadi, Kunadi, Kota, Rajasthan, 324008",Near Maharana Pratap Circle Kunadi
V-Mart - Lucknow-Bkt,https://stores.vmartretail.com/v-mart-lucknow-bkt-bakshi-ka-talab-lucknow-30852/home,"Bakshi Ka Talab, Lucknow",+917428389508,"Khasra No 27, Sitapur Road, Opposite Bakshi Ka Talab Railway Station, Bakshi Ka Talab, Lucknow, Uttar Pradesh, 226201",Opposite Bakshi Ka Talab Railway Station
V-Mart - Lucknow-Dubagga,https://stores.vmartretail.com/v-mart-lucknow-dubagga-aman-colony-lucknow-30748/home,"Aman Colony, Lucknow",+917303527326,"Plot No 5, Dubagga Chauraha, Sitapur Bypass, Hardoi Road, Dubagga Chauraha, Near Eidgah.Dubagga, Aman Colony, Lucknow, Uttar Pradesh, 226101",Near Eidgah.Dubagga
V-Mart - Kota,https://stores.vmartretail.com/v-mart-kota-dadabari-kota-31080/home,"Dadabari, Kota",+919309048423,"1 Ch 19, Shopping Complex, Basant Vihar, Near Dadabari, Kota, Dadabari, Kota, Rajasthan, 324009","Near Dadabari, Kota"
V-Mart - Kota-Rangbari,https://stores.vmartretail.com/v-mart-kota-rangbari-talwandi-kota-30728/home,"Talwandi, Kota",+917303585366,"House No 3A1, Rangbari Road, Rangbari Road, Near Rangbari Rd, Kota, Talwandi, Kota, Rajasthan, 324005","Near Rangbari Rd, Kota"
V-Mart - Lucknow-Budheshwar,https://stores.vmartretail.com/v-mart-lucknow-budheshwar-budheshwar-chauraha-lucknow-30895/home,"Budheshwar Chauraha, Lucknow",+917428495289,"Ground Floor, Mohan Road, Mohan Road, Near Shri Buddheshwar Mahadev Temple, Lucknow, Budheshwar Chauraha, Lucknow, Uttar Pradesh, 226003","Near Shri Buddheshwar Mahadev Temple, Lucknow"
V-Mart - Rajajipuram,https://stores.vmartretail.com/v-mart-rajajipuram-rajajipuram-lucknow-30977/home,"Rajajipuram, Lucknow",+918448491987,"E 2169, Old Taxi Stand, Near भारतीय योग संस्थान, मिनी स्टेडियम, राजाजीपुरम केन्द्र, Rajajipuram, Lucknow, Uttar Pradesh, 226017","Near भारतीय योग संस्थान, मिनी स्टेडियम, राजाजीपुरम केन्द्र"
V-Mart - Thakurganj,https://stores.vmartretail.com/v-mart-thakurganj-thakurganj-lucknow-31021/home,"Thakurganj, Lucknow",+917289005834,"439 C/193 N Tehsim Ganj Chowk, Tehsim Ganj Chowk, Near Clock Tower Hussainabad Lucknow, Thakurganj, Lucknow, Uttar Pradesh, 226003",Near Clock Tower Hussainabad Lucknow
V-Mart - Lucknow-Rajajipuram 2,https://stores.vmartretail.com/v-mart-lucknow-rajajipuram-2-rajajipuram-lucknow-31094/home,"Rajajipuram, Lucknow",+917303630065,"Ground Floor, Near Tikait Rai Talab, Rajajipuram, Mohaan Road, Near Tikait Rai Talab Colony, Rajajipuram, Rajajipuram, Lucknow, Uttar Pradesh, 226003","Near Tikait Rai Talab Colony, Rajajipuram"
V-Mart - Lucknow-Khadra,https://stores.vmartretail.com/v-mart-lucknow-khadra-khadra-lucknow-32955/home,"Khadra, Lucknow",+917042700201,"Sitapur Road, Purani Khadra Chungi, Iradat Nagar, Purani Khadra Chungi, Near Bara Imambara, Khadra, Lucknow, Uttar Pradesh, 226020",Near Bara Imambara
V-Mart - Chowk,https://stores.vmartretail.com/v-mart-chowk-saadatganj-lucknow-30789/home,"Saadatganj, Lucknow",+919335640068,"Shop No Cd/7, 98, Dalali Mohalla Chowk, Sabzi Mandi, Near Akbari Gate, Saadatganj, Lucknow, Uttar Pradesh, 226003",Near Akbari Gate
V-Mart - Palki-Lucknow,https://stores.vmartretail.com/v-mart-palki-lucknow-aliganj-lucknow-31044/home,"Aliganj, Lucknow",+918448480731,"Sitapur Road Tadikhana, Palki, Near Highway Hospital & Trauma Centre Pvt. Ltd., Aliganj, Lucknow, Uttar Pradesh, 226021",Near Highway Hospital & Trauma Centre Pvt. Ltd.
V-Mart - Lucknow-Tedhipulia,https://stores.vmartretail.com/v-mart-lucknow-tedhipulia-adil-nagar-lucknow-32334/home,"Adil Nagar, Lucknow",+919289662263,"Tedhipulia, Khursi Road, Shyam Plaza House, Khursi Road, Near Jankipuram Biotech Park,Lucknow, Adil Nagar, Lucknow, Uttar Pradesh, 226021","Near Jankipuram Biotech Park,Lucknow"
V-Mart - Hamirpur,https://stores.vmartretail.com/v-mart-hamirpur-maherpuri-hamirpur-31040/home,"Maherpuri, Hamirpur",+918448085183,"Plot No 19/385, Ward, No 17, Stadium Road, Stadium Road, Near Hamirpur Stadium, Maherpuri, Hamirpur, Uttar Pradesh, 210301",Near Hamirpur Stadium
V-Mart - Alambagh,https://stores.vmartretail.com/v-mart-alambagh-alambagh-lucknow-41964/home,"Alambagh, Lucknow",+919773985834,"Plot No 555/jha, 220, Kanpur Road, Hari Nagar, Near Gurudwara - Chander Nagar, Lucknow, Alambagh, Lucknow, Uttar Pradesh, 226005","Near Gurudwara - Chander Nagar, Lucknow"
V-Mart - Airport Road-Lucknow,https://stores.vmartretail.com/v-mart-airport-road-lucknow-lda-colony-lucknow-31075/home,"Lda Colony, Lucknow",+918448480725,"Vidya Plaza, Pn 6 18, Kanpur Road, Krishna Nagar, Near Krishna Nagar Metro Station,Kanpur - Lucknow Rd, Lda Colony, Lucknow, Uttar Pradesh, 226023","Near Krishna Nagar Metro Station,Kanpur - Lucknow Rd"
V-Mart - Vikas Nagar,https://stores.vmartretail.com/v-mart-vikas-nagar-vikas-nagar-lucknow-30814/home,"Vikas Nagar, Lucknow",+919369660960,"Lekh Raj Panna Shopping Complex, Lohia Nagar Marg, Near Vikas Nagar, Vikas Nagar, Lucknow, Uttar Pradesh, 226022",Near Vikas Nagar
V-Mart - Lucknow-Sarojini Nagar,https://stores.vmartretail.com/v-mart-lucknow-sarojini-nagar-sarojini-nagar-lucknow-34019/home,"Sarojini Nagar, Lucknow",+919560501734,"Kanpur Road, Kanpur Road, Near Gauri Bazar, Sarojini Nagar, Lucknow, Sarojini Nagar, Lucknow, Uttar Pradesh, 226008","Near Gauri Bazar, Sarojini Nagar, Lucknow"
V-Mart - Durgapuri - Lucknow,https://stores.vmartretail.com/v-mart-durgapuri-lucknow-charbagh-lucknow-38006/home,"Charbagh, Lucknow",+918826333706,"Plot No 86, Sewagram Stadium, Mawaiya, Near Durgapuri Metro Cool Corner, Mawaiyya, Charbagh, Lucknow, Uttar Pradesh, 226004","Near Durgapuri Metro Cool Corner, Mawaiyya"
V-Mart - Lucknow-Qaisarbagh,https://stores.vmartretail.com/v-mart-lucknow-qaisarbagh-qaisarbagh-lucknow-31050/home,"Qaisarbagh, Lucknow",+917303630054,"11 Baradari Road, Qaisarbagh Chauraha, Near Kaiserbagh Cir, Kaiserbagh Officer's Colony, Qaisarbagh, Lucknow, Uttar Pradesh, 226001","Near Kaiserbagh Cir, Kaiserbagh Officer's Colony"
V-Mart - Hussainganj,https://stores.vmartretail.com/v-mart-hussainganj-hussainganj-lucknow-30861/home,"Hussainganj, Lucknow",+918448085185,"Plot No 11, S T Road, S T Road, Near Golden Tulip Lucknow, Hussainganj, Lucknow, Uttar Pradesh, 226001",Near Golden Tulip Lucknow
